,,,,,,,,,
,,,,Retire Off Bitcoin Calculator,,,,,
,,,,,,,,Jan 1 2024,43835.62
,,,,,,,,starting BTC,3.4
YEAR,YEAR,VALUE,GAIN %,GAIN $,LTV,DEBT,Interest,FCF,PP-BTC
2024,1,"149,000",147%,"$219,030",,,,,"44,345.24"
2025,2,"368,030",200%,"$736,060",,,,,"109,532.74"
2026,3,"1,104,090",-50%,"-$552,045",20.0%,"220,818.00","26,498.16",,"328,598.21"
2027,4,"552,045",100%,"$552,045",15.0%,"331,227.00","39,747.24",,"164,299.11"
2028,5,"1,104,090",100%,"$1,104,090",10.0%,"375,390.60","45,046.87","194,319.84","328,598.21"
2029,6,"2,208,180",70%,"$1,545,726",11.7%,"258,357.06","31,002.85","6,536.21","657,196.43"
2030,7,"3,753,906",-35%,"-$1,313,867",12.4%,"465,484.34","55,858.12","151,269.16","1,117,233.93"
2031,8,"2,440,039",75%,"$1,830,029",25.0%,"610,009.73","73,201.17","71,324.21","726,202.05"
2032,9,"4,270,068",75%,"$3,202,551",19.2%,"819,853.07","98,382.37","111,460.98","1,270,853.59"
2033,10,"7,472,619",35%,"$2,615,417",14.1%,"1,053,639.30","126,436.72","107,349.51","2,223,993.79"
2034,11,"10,088,036",-25%,"-$2,522,009",13.0%,"1,311,444.66","157,373.36","100,432.00","3,002,391.62"
2035,12,"7,566,027",50%,"$3,783,013",21.1%,"1,596,431.67","191,571.80","93,415.21","2,251,793.71"
2036,13,"11,349,040",50%,"$5,674,520",16.9%,"1,917,987.81","230,158.54","91,397.60","3,377,690.57"
2037,14,"17,023,560",25%,"$4,255,890",13.4%,"2,281,157.10","273,738.85","89,430.44","5,066,535.85"
2038,15,"21,279,451",-15%,"-$3,191,918",12.6%,"2,681,210.77","321,745.29","78,308.38","6,333,169.81"
2039,16,"18,087,533",35%,"$6,330,637",17.3%,"3,129,143.21","375,497.18","72,435.25","5,383,194.34"
2040,17,"24,418,170",35%,"$8,546,359",15.0%,"3,662,725.43","439,527.05","94,055.17","7,267,312.36"
2041,18,"32,964,529",35%,"$11,537,585",13.0%,"4,285,388.75","514,246.65","108,416.67","9,810,871.69"
2042,19,"44,502,114",-10%,"-$4,450,211",11.2%,"4,984,236.76","598,108.41","100,739.60","13,244,676.78"
2043,20,"40,051,903",35%,"$14,018,166",14.4%,"5,767,473.97","692,096.88","91,140.33","11,920,209.10"
,TOTALS,"54,070,068.48",,"53,921,068.48",0,"5,767,473.97","4,290,237.51","1,367,710.73","27,035,034.24"
,,,,,,,,,
WATCH VIDEO FOR INSTRUCTIONS (CLICK HERE),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Click HERE to Watch Video,,,,,,,,,
